                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.45299,                0.53203,                0.66806,                0.99451,                0.96962,                0.98558,                0.98857,                 0.9759,                0.96962,                0.98558,                0.98857,                0.90109,                0.28715,                0.56271,                0.36173,                0.95464,             0.00030808,             0.00030808,             0.00030808
                     76,                 0.4533,                0.52753,                0.68863,                0.99501,                0.96213,                0.90755,                0.98249,                0.91269,                0.96213,                0.90755,                0.98249,                0.63505,                 0.3996,                 1.8031,                0.46674,                 1.0533,             0.00029708,             0.00029708,             0.00029708
                     77,                0.45468,                0.53664,                0.72298,                 1.0054,                0.66168,                0.15333,                0.15755,                0.04224,                      0,                      0,                      0,                      0,                 3.3121,                 14.785,                  5.833,                 5.0134,             0.00028608,             0.00028608,             0.00028608
                     78,                0.42957,                0.51534,                0.65919,                0.99111,                0.95976,                0.98042,                0.98922,                0.95954,                0.95976,                0.98042,                0.98922,                0.90473,                0.28289,                0.56563,                0.39545,                0.97446,             0.00027508,             0.00027508,             0.00027508
                     79,                0.43938,                0.53048,                0.62317,                0.98082,                0.92619,                0.89792,                0.98624,                0.88633,                0.89705,                0.87259,                0.95872,                0.43353,                0.52894,                 3.8388,                0.64954,                 1.1656,             0.00026408,             0.00026408,             0.00026408
                     80,                0.41982,                0.53515,                0.63637,                0.97216,                 0.9888,                0.99333,                0.98398,                0.96202,                 0.9888,                0.99333,                0.98398,                0.90067,                0.28396,                0.56374,                0.31609,                0.94765,             0.00025309,             0.00025309,             0.00025309
                     81,                0.41187,                0.50653,                0.67957,                0.97115,                0.98516,                0.99333,                 0.9843,                0.96659,                0.98516,                0.99333,                 0.9843,                0.89557,                0.25801,                0.55569,                0.32245,                0.94536,             0.00024209,             0.00024209,             0.00024209
                     82,                 0.4517,                0.54075,                0.66545,                0.99254,                0.96009,                0.98325,                0.99007,                0.97176,                0.96009,                0.98325,                0.99007,                0.90824,                0.28166,                0.55656,                0.35333,                0.94489,             0.00023109,             0.00023109,             0.00023109
                     83,                0.39666,                0.50239,                0.61596,                0.96519,                0.98815,                0.99333,                0.98788,                0.97046,                0.98815,                0.99333,                0.98788,                0.90487,                0.26037,                0.55164,                0.28084,                0.93826,             0.00022009,             0.00022009,             0.00022009
                     84,                0.42049,                0.52209,                0.61059,                0.96665,                0.96916,                0.99009,                0.99016,                 0.9718,                0.96916,                0.99009,                0.99016,                0.89993,                0.26309,                0.55556,                0.34072,                0.96518,             0.00020909,             0.00020909,             0.00020909
                     85,                 0.4108,                0.52283,                0.61273,                0.96537,                0.98819,                0.99333,                0.98639,                0.96478,                0.98819,                0.99333,                0.98639,                0.90052,                0.25735,                0.54704,                0.29203,                0.94771,             0.00019809,             0.00019809,             0.00019809
                     86,                0.39615,                0.51235,                0.59071,                0.95601,                0.84448,                0.91052,                0.98024,                0.73566,                0.65874,                0.64667,                0.62824,                0.19303,                 1.0189,                 7.4941,                0.77658,                 1.6321,             0.00018709,             0.00018709,             0.00018709
                     87,                0.40537,                0.51941,                0.61938,                0.97405,                0.98367,                0.99333,                 0.9881,                0.96503,                0.98367,                0.99333,                 0.9881,                0.90639,                0.27079,                 0.5498,                0.30152,                0.95425,             0.00017609,             0.00017609,             0.00017609
                     88,                0.40832,                0.53099,                0.59775,                0.94826,                0.98073,                0.99332,                0.99011,                0.95951,                0.98073,                0.99332,                0.99011,                0.89183,                0.29522,                0.59072,                0.30886,                0.96995,             0.00016509,             0.00016509,             0.00016509
                     89,                 0.4137,                0.51059,                0.60821,                0.96781,                0.98559,                0.99333,                0.98461,                0.97291,                0.98559,                0.99333,                0.98461,                0.90357,                0.25181,                0.55158,                0.28446,                0.93967,              0.0001541,              0.0001541,              0.0001541
                     90,                 0.4083,                0.51422,                0.58299,                0.96827,                 0.9875,                0.99333,                0.98766,                0.96968,                 0.9875,                0.99333,                0.98766,                0.87163,                0.27856,                0.70983,                0.30446,                0.96527,              0.0001431,              0.0001431,              0.0001431
                     91,                0.31353,                0.44804,                0.39689,                0.90407,                0.98694,                0.99333,                0.98548,                0.95113,                0.98694,                0.99333,                0.98548,                0.91585,                0.28986,                0.54577,                0.29685,                0.94217,              0.0001321,              0.0001321,              0.0001321
                     92,                0.31199,                0.45946,                0.37211,                0.89615,                 0.9868,                0.99333,                0.98631,                0.97212,                 0.9868,                0.99333,                0.98631,                0.91195,                0.28243,                0.53559,                0.29504,                0.93905,              0.0001211,              0.0001211,              0.0001211
                     93,                0.26616,                0.43205,                0.32626,                0.85918,                0.98994,                0.99333,                0.98528,                0.95694,                0.98994,                0.99333,                0.98528,                 0.9087,                0.27703,                 0.5618,                0.28634,                 0.9278,              0.0001101,              0.0001101,              0.0001101
                     94,                0.27468,                0.43912,                0.34274,                0.87247,                0.98717,                0.99333,                0.98691,                0.96781,                0.98717,                0.99333,                0.98691,                0.90849,                0.24638,                0.54415,                0.27524,                0.92058,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.27429,                0.45366,                0.34288,                0.87806,                0.98817,                0.99333,                0.98779,                0.97571,                0.98817,                0.99333,                0.98779,                0.90626,                0.23706,                0.55234,                0.26713,                0.92208,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.26451,                0.43975,                 0.3541,                0.87066,                0.99006,                0.99333,                0.98742,                0.97651,                0.99006,                0.99333,                0.98742,                0.90649,                0.23067,                0.54769,                0.26088,                0.92333,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.26651,                   0.45,                0.35741,                0.86463,                0.97892,                0.99333,                0.98881,                0.97734,                0.97892,                0.99333,                0.98881,                0.90676,                0.23527,                0.55417,                0.26908,                 0.9321,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.25439,                0.43628,                0.32577,                0.87772,                0.98453,                0.99333,                0.98729,                0.97787,                0.98453,                0.99333,                0.98729,                0.90699,                0.21848,                0.54576,                0.26226,                0.92181,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.25374,                0.44932,                0.33088,                 0.8762,                0.98989,                0.99333,                0.98769,                0.97983,                0.98989,                0.99333,                0.98769,                0.91153,                0.22019,                0.53981,                0.24912,                0.92368,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.24977,                 0.4355,                0.33211,                0.86904,                0.98958,                0.99333,                0.98596,                0.97406,                0.98958,                0.99333,                0.98596,                0.91149,                0.22654,                0.54948,                 0.2499,                0.92006,             3.3108e-05,             3.3108e-05,             3.3108e-05
